--------------------------------------
| No. |  i  |  j  | Result (Sum)      |
--------------------------------------
|   1 |   0 |   0 |                73 |
|   2 |   0 |   1 |                39 |
|   3 |   0 |   2 |                43 |
|   4 |   0 |   3 |                31 |
|   5 |   0 |   4 |                24 |
|   6 |   0 |   5 |                16 |
|   7 |   1 |   0 |                72 |
|   8 |   1 |   1 |                72 |
|   9 |   1 |   2 |                44 |
|  10 |   1 |   3 |                 7 |
|  11 |   1 |   4 |                 0 |
|  12 |   1 |   5 |                 0 |
|  13 |   2 |   0 |                87 |
|  14 |   2 |   1 |                57 |
|  15 |   2 |   2 |                78 |
|  16 |   2 |   3 |                13 |
|  17 |   2 |   4 |                 0 |
|  18 |   2 |   5 |                 0 |
|  19 |   3 |   0 |                47 |
|  20 |   3 |   1 |                28 |
|  21 |   3 |   2 |                 7 |
|  22 |   3 |   3 |                28 |
|  23 |   3 |   4 |                13 |
|  24 |   3 |   5 |                 0 |
|  25 |   4 |   0 |                39 |
|  26 |   4 |   1 |                34 |
|  27 |   4 |   2 |                 5 |
|  28 |   4 |   3 |                 7 |
|  29 |   4 |   4 |                11 |
|  30 |   4 |   5 |                13 |
|  31 |   5 |   0 |                29 |
|  32 |   5 |   1 |                37 |
|  33 |   5 |   2 |                31 |
|  34 |   5 |   3 |                 0 |
|  35 |   5 |   4 |                 0 |
|  36 |   5 |   5 |                 0 |
|  37 |   6 |   0 |                 0 |
|  38 |   6 |   1 |                 0 |
|  39 |   6 |   2 |                37 |
|  40 |   6 |   3 |                 0 |
|  41 |   6 |   4 |                 0 |
|  42 |   6 |   5 |                 0 |
--------------------------------------
